Player,Position,Team,KeeperRound,AcquisitionType,DraftTeam,IsPriorKeeper
"Tremaine Edmunds",LB,CHI,15,"Drafted (Round 15)","MombaMentality",NO
"Hunter Henry",TE,NE,15,"Drafted (Round 15)","Billy Goat Tavern",NO
"Edgerrin Cooper",LB,GB,15,"Drafted (Round 15)","Rafi Bomb Returns!",NO
"Lavonte David",LB,TB,15,"Drafted (Round 15)","No Talent Ass Clowns",NO
"Budda Baker",DB,ARI,15,"Drafted (Round 15)","Oroszlanok",NO
"Andrew Van Ginkel",LB,MIN,15,"Drafted (Round 15)","Dumpster Fire",NO
"Cameron Dicker",K,LAC,16,"Drafted (Round 16)","Dumpster Fire",NO
"Nick Cross",DB,IND,16,"Drafted (Round 16)","Oroszlanok",NO
"Chase McLaughlin",K,TB,16,"Drafted (Round 16)","No Talent Ass Clowns",NO
"Jake Bates",K,DET,16,"Drafted (Round 16)","Rafi Bomb Returns!",NO
"Chris Boswell",K,PIT,16,"Drafted (Round 16)","Billy Goat Tavern",NO
"T.J. Watt",LB,PIT,16,"Drafted (Round 16)","MombaMentality",NO
"Cedric Tillman",WR,CLE,16,"Drafted (Round 16)","Fat Lazy Americans",NO
"E.J. Speed",LB,IND,16,"Drafted (Round 16)","Postino's Banditos",NO
"Myles Garrett",DL,CLE,16,"Drafted (Round 16)","Wailin Raylans",NO
"Nick Bosa",DL,SF,16,"Drafted (Round 16)","Berserker",NO
"Cam Bynum",DB,MIN,16,"Drafted (Round 16)","I LIKE BIG TDS",NO
"Tyler Lockett",WR,SEA,16,"Drafted (Round 16)","Kona’s Kickers",NO
"Ka'imi Fairbairn",K,HOU,17,"Drafted (Round 17)","Kona’s Kickers",NO
"Matt Gay",K,IND,17,"Drafted (Round 17)","I LIKE BIG TDS",NO
"Evan McPherson",K,CIN,17,"Drafted (Round 17)","Berserker",NO
"Wil Lutz",K,DEN,17,"Drafted (Round 17)","Wailin Raylans",NO
"Germaine Pratt",LB,CIN,17,"Drafted (Round 17)","Postino's Banditos",NO
"Jalen Coker",WR,CAR,17,"Drafted (Round 17)","Fat Lazy Americans",NO
"Tyrice Knight",LB,SEA,17,"Drafted (Round 17)","MombaMentality",NO
"Isaac TeSlaa",WR,DET,17,"Drafted (Round 17)","Billy Goat Tavern",NO
"Daiyan Henley",LB,LAC,17,"Drafted (Round 17)","Rafi Bomb Returns!",NO
"Matt Milano",LB,BUF,17,"Drafted (Round 17)","No Talent Ass Clowns",NO
"Kevin Byard III",DB,CHI,17,"Drafted (Round 17)","Oroszlanok",NO
"Tyler Allgeier",RB,ATL,17,"Drafted (Round 17)","Dumpster Fire",NO
