OverallRank,Round,Player,Position,Team,TheLeagueProjPoints,VORP,GenericHalfPPRPoints,KeeperStatus
243,21,Greg Dulcich,TE,MIA,106.4,-25,106.4,
244,21,Tyler Shough,QB,NO,317.7,-25.3,285.1,
245,21,Christian Harris,LB,ATL,107.5,-25.4,162.6,
246,21,Drake Thomas,LB,SEA,107.5,-25.4,161.8,
247,21,Evan Williams,DB,GB,107.5,-25.4,162.7,
248,21,Alontae Taylor,DB,TEN,107.4,-25.5,161.2,
249,21,Matthew Golden,WR,GB,137.4,-25.7,137.4,
250,21,Kenyon Sadiq,TE,NYJ,105.7,-25.7,105.8,
251,21,Tyrique Stevenson,DB,CHI,107,-25.9,164.9,
252,21,RJ Harvey,RB,DEN,139.1,-26,139.1,
253,22,Dee Winters,LB,DAL,106.9,-26,160.6,
254,22,Malaki Starks,DB,BAL,106.6,-26.3,160.3,
255,22,Tyson Campbell,DB,CLE,106.2,-26.7,161.8,
256,22,Jordan Mason,RB,MIN,138.3,-26.8,138.3,
257,22,Aidan Hutchinson,DL,DET,106.1,-26.8,157.6,
258,22,Caleb Downs,DB,DAL,105.8,-27.1,160.6,
259,22,Grant Delpit,DB,CLE,105.8,-27.1,159.8,
260,22,Andrew Mukuba,DB,PHI,105.7,-27.2,159.2,
